PATH,NODE,ACCESS,BUILT-IN-TYPE,DERIVED-TYPE,AUGMENT,CONSTRAINTS,NOTES
arista/anic/interfaces/interface/job-status/job-uri,leaf,read,string,,,,gNMI-only access
arista/anic/interfaces/interface/job-status/last-job-error,leaf,read,string,,,,gNMI-only access
arista/anic/interfaces/interface/job-status/last-poll-timestamp,leaf,read,decimal64,arista-eos-types:seconds,,,gNMI-only access
arista/anic/interfaces/interface/job-status/name,leaf,read,string,,,,gNMI-only access
arista/anic/interfaces/interface/job-status/next-poll-timestamp,leaf,read,decimal64,arista-eos-types:seconds,,,gNMI-only access
arista/anic/interfaces/interface/job-status/metric-path-table-key/job-uri,leaf,read,string,,,,gNMI-only access
arista/anic/interfaces/interface/job-status/metric-path-table-key/label,leaf,read,string,,,,gNMI-only access
arista/anic/interfaces/interface/job-status/metric-path-table-key/vrf-name,leaf,read,string,arista-arnet-vrf-name:l3-vrf-name,,,gNMI-only access
arista/anic/interfaces/interface/management-info/addr,leaf,read,union,openconfig-inet-types:ip-address,,,gNMI-only access
arista/anic/interfaces/interface/management-info/host-interface,leaf,read,string,,,,gNMI-only access
arista/anic/interfaces/interface/management-info/host-name,leaf,read,string,,,,gNMI-only access
arista/anic/interfaces/interface/management-info/vrf-name,leaf,read,string,arista-arnet-vrf-name:l3-vrf-name,,,gNMI-only access
arista/connectivity-monitor/clients/client/name,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/host-name,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/vrf-name,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/http-stats/http-probe-error,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/http-stats/http-response-time,leaf,read,binary,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/http-stats/interface-name,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/http-stats/url,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/icmp-stats/icmp-probe-error,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/icmp-stats/interface-name,leaf,read,string,,,,gNMI-only access
